使用设备：mps
EPOCHS=300 | BATCH_SIZE=64 | LR=0.0003 | scheduler=StepLR(step=75, gamma=0.7)

Epoch   1/300 | train_loss: 4004.6411 | val_loss: 2429.1222 | lr: 0.000300 ← 保存
Epoch   2/300 | train_loss: 304.1298 | val_loss: 177.3902 | lr: 0.000300 ← 保存
Epoch   3/300 | train_loss: 148.5799 | val_loss: 95.3722 | lr: 0.000300 ← 保存
Epoch   4/300 | train_loss: 94.5657 | val_loss: 139.2017 | lr: 0.000300
Epoch   5/300 | train_loss: 72.7755 | val_loss: 68.3352 | lr: 0.000300 ← 保存
Epoch   6/300 | train_loss: 54.1849 | val_loss: 112.0944 | lr: 0.000300
Epoch   7/300 | train_loss: 51.7993 | val_loss: 150.8194 | lr: 0.000300
Epoch   8/300 | train_loss: 46.6948 | val_loss: 156.3529 | lr: 0.000300
Epoch   9/300 | train_loss: 46.0949 | val_loss: 52.8201 | lr: 0.000300 ← 保存
Epoch  10/300 | train_loss: 41.1600 | val_loss: 76.9794 | lr: 0.000300
Epoch  11/300 | train_loss: 42.5133 | val_loss: 109.3617 | lr: 0.000300
Epoch  12/300 | train_loss: 42.2703 | val_loss: 86.2707 | lr: 0.000300
Epoch  13/300 | train_loss: 37.0614 | val_loss: 52.7665 | lr: 0.000300 ← 保存
Epoch  14/300 | train_loss: 34.9964 | val_loss: 36.2159 | lr: 0.000300 ← 保存
Epoch  15/300 | train_loss: 35.1389 | val_loss: 46.4241 | lr: 0.000300
Epoch  16/300 | train_loss: 40.0976 | val_loss: 48.1235 | lr: 0.000300
Epoch  17/300 | train_loss: 33.6079 | val_loss: 37.8052 | lr: 0.000300
Epoch  18/300 | train_loss: 34.9805 | val_loss: 48.2815 | lr: 0.000300
Epoch  19/300 | train_loss: 34.5321 | val_loss: 34.4482 | lr: 0.000300 ← 保存
Epoch  20/300 | train_loss: 32.5547 | val_loss: 70.7695 | lr: 0.000300
Epoch  21/300 | train_loss: 32.7076 | val_loss: 36.1010 | lr: 0.000300
Epoch  22/300 | train_loss: 32.4347 | val_loss: 50.4766 | lr: 0.000300
Epoch  23/300 | train_loss: 32.1087 | val_loss: 814.3530 | lr: 0.000300
Epoch  24/300 | train_loss: 45.2353 | val_loss: 159.0952 | lr: 0.000300
Epoch  25/300 | train_loss: 33.5388 | val_loss: 56.4122 | lr: 0.000300
Epoch  26/300 | train_loss: 32.0317 | val_loss: 39.2261 | lr: 0.000300
Epoch  27/300 | train_loss: 32.6814 | val_loss: 38.5561 | lr: 0.000300
Epoch  28/300 | train_loss: 31.9767 | val_loss: 33.0788 | lr: 0.000300 ← 保存
Epoch  29/300 | train_loss: 31.2874 | val_loss: 233.7484 | lr: 0.000300
Epoch  30/300 | train_loss: 34.8351 | val_loss: 65.1094 | lr: 0.000300
Epoch  31/300 | train_loss: 32.5405 | val_loss: 56.1116 | lr: 0.000300
Epoch  32/300 | train_loss: 30.3115 | val_loss: 41.3856 | lr: 0.000300
Epoch  33/300 | train_loss: 28.8867 | val_loss: 31.9283 | lr: 0.000300 ← 保存
Epoch  34/300 | train_loss: 30.0826 | val_loss: 41.8870 | lr: 0.000300
Epoch  35/300 | train_loss: 30.1346 | val_loss: 91.9086 | lr: 0.000300
Epoch  36/300 | train_loss: 30.1805 | val_loss: 35.7523 | lr: 0.000300
Epoch  37/300 | train_loss: 29.0525 | val_loss: 149.3255 | lr: 0.000300
Epoch  38/300 | train_loss: 31.3240 | val_loss: 35.3865 | lr: 0.000300
Epoch  39/300 | train_loss: 29.7410 | val_loss: 36.3569 | lr: 0.000300
Epoch  40/300 | train_loss: 28.2177 | val_loss: 36.1141 | lr: 0.000300
Epoch  41/300 | train_loss: 29.8068 | val_loss: 32.1027 | lr: 0.000300
Epoch  42/300 | train_loss: 28.7506 | val_loss: 58.2495 | lr: 0.000300
Epoch  43/300 | train_loss: 30.2768 | val_loss: 45.6647 | lr: 0.000300
Epoch  44/300 | train_loss: 29.8916 | val_loss: 45.5102 | lr: 0.000300
Epoch  45/300 | train_loss: 28.1517 | val_loss: 50.3207 | lr: 0.000300
Epoch  46/300 | train_loss: 28.6251 | val_loss: 30.5053 | lr: 0.000300 ← 保存
Epoch  47/300 | train_loss: 27.2110 | val_loss: 111.6083 | lr: 0.000300
Epoch  48/300 | train_loss: 30.8730 | val_loss: 36.0022 | lr: 0.000300
Epoch  49/300 | train_loss: 32.6703 | val_loss: 40.9955 | lr: 0.000300
Epoch  50/300 | train_loss: 30.1163 | val_loss: 374.2451 | lr: 0.000300
Epoch  51/300 | train_loss: 43.6252 | val_loss: 33.9990 | lr: 0.000300
Epoch  52/300 | train_loss: 30.5171 | val_loss: 41.7962 | lr: 0.000300
Epoch  53/300 | train_loss: 29.7292 | val_loss: 42.9633 | lr: 0.000300
Epoch  54/300 | train_loss: 30.2220 | val_loss: 43.2118 | lr: 0.000300
Epoch  55/300 | train_loss: 27.8773 | val_loss: 74.1821 | lr: 0.000300
Epoch  56/300 | train_loss: 28.2236 | val_loss: 31.8837 | lr: 0.000300
Epoch  57/300 | train_loss: 27.1185 | val_loss: 35.4977 | lr: 0.000300
Epoch  58/300 | train_loss: 28.0761 | val_loss: 29.8095 | lr: 0.000300 ← 保存
Epoch  59/300 | train_loss: 27.9232 | val_loss: 74.4160 | lr: 0.000300
Epoch  60/300 | train_loss: 27.0624 | val_loss: 78.8792 | lr: 0.000300
Epoch  61/300 | train_loss: 27.2234 | val_loss: 127.0594 | lr: 0.000300
Epoch  62/300 | train_loss: 28.0280 | val_loss: 52.3624 | lr: 0.000300
Epoch  63/300 | train_loss: 27.5023 | val_loss: 40.0235 | lr: 0.000300
Epoch  64/300 | train_loss: 26.5909 | val_loss: 95.0969 | lr: 0.000300
Epoch  65/300 | train_loss: 27.3799 | val_loss: 32.7963 | lr: 0.000300
Epoch  66/300 | train_loss: 26.9962 | val_loss: 30.1632 | lr: 0.000300
Epoch  67/300 | train_loss: 27.7711 | val_loss: 40.7631 | lr: 0.000300
Epoch  68/300 | train_loss: 27.0051 | val_loss: 35.2854 | lr: 0.000300
Epoch  69/300 | train_loss: 28.2302 | val_loss: 32.0012 | lr: 0.000300
Epoch  70/300 | train_loss: 26.7577 | val_loss: 33.1441 | lr: 0.000300
Epoch  71/300 | train_loss: 26.7427 | val_loss: 32.5419 | lr: 0.000300
Epoch  72/300 | train_loss: 27.5482 | val_loss: 43.2475 | lr: 0.000300
Epoch  73/300 | train_loss: 28.1335 | val_loss: 30.6820 | lr: 0.000300
Epoch  74/300 | train_loss: 26.4544 | val_loss: 88.8574 | lr: 0.000300
Epoch  75/300 | train_loss: 29.1060 | val_loss: 33.3012 | lr: 0.000210
Epoch  76/300 | train_loss: 25.9082 | val_loss: 39.0048 | lr: 0.000210
Epoch  77/300 | train_loss: 28.8219 | val_loss: 38.1024 | lr: 0.000210
Epoch  78/300 | train_loss: 25.8486 | val_loss: 59.2528 | lr: 0.000210
Epoch  79/300 | train_loss: 29.0282 | val_loss: 32.4995 | lr: 0.000210
Epoch  80/300 | train_loss: 25.7688 | val_loss: 30.6847 | lr: 0.000210
Epoch  81/300 | train_loss: 25.2842 | val_loss: 31.3526 | lr: 0.000210
Epoch  82/300 | train_loss: 25.2510 | val_loss: 79.3303 | lr: 0.000210
Epoch  83/300 | train_loss: 25.4442 | val_loss: 50.5550 | lr: 0.000210
Epoch  84/300 | train_loss: 25.9115 | val_loss: 33.4859 | lr: 0.000210
Epoch  85/300 | train_loss: 25.0912 | val_loss: 29.5654 | lr: 0.000210 ← 保存
Epoch  86/300 | train_loss: 25.7515 | val_loss: 31.2525 | lr: 0.000210
Epoch  87/300 | train_loss: 25.0770 | val_loss: 68.3116 | lr: 0.000210
Epoch  88/300 | train_loss: 27.5591 | val_loss: 28.6523 | lr: 0.000210 ← 保存
Epoch  89/300 | train_loss: 25.2196 | val_loss: 28.5902 | lr: 0.000210 ← 保存
Epoch  90/300 | train_loss: 25.1112 | val_loss: 36.0157 | lr: 0.000210
Epoch  91/300 | train_loss: 25.1172 | val_loss: 30.2181 | lr: 0.000210
Epoch  92/300 | train_loss: 24.9194 | val_loss: 37.8140 | lr: 0.000210
Epoch  93/300 | train_loss: 25.6084 | val_loss: 149.6868 | lr: 0.000210
Epoch  94/300 | train_loss: 25.4496 | val_loss: 29.6036 | lr: 0.000210
Epoch  95/300 | train_loss: 24.8398 | val_loss: 30.1763 | lr: 0.000210
Epoch  96/300 | train_loss: 25.0027 | val_loss: 38.0881 | lr: 0.000210
Epoch  97/300 | train_loss: 25.9156 | val_loss: 30.2008 | lr: 0.000210
Epoch  98/300 | train_loss: 25.3812 | val_loss: 28.9136 | lr: 0.000210
Epoch  99/300 | train_loss: 24.5386 | val_loss: 36.0750 | lr: 0.000210
Epoch 100/300 | train_loss: 24.9329 | val_loss: 29.6942 | lr: 0.000210
Epoch 101/300 | train_loss: 25.0639 | val_loss: 72.4543 | lr: 0.000210
Epoch 102/300 | train_loss: 24.7147 | val_loss: 31.2086 | lr: 0.000210
Epoch 103/300 | train_loss: 25.1183 | val_loss: 29.3776 | lr: 0.000210
Epoch 104/300 | train_loss: 25.2741 | val_loss: 30.9988 | lr: 0.000210
Epoch 105/300 | train_loss: 24.2368 | val_loss: 29.7862 | lr: 0.000210
Epoch 106/300 | train_loss: 24.3191 | val_loss: 28.7257 | lr: 0.000210
Epoch 107/300 | train_loss: 24.5451 | val_loss: 31.8365 | lr: 0.000210
Epoch 108/300 | train_loss: 24.6875 | val_loss: 36.9627 | lr: 0.000210
Epoch 109/300 | train_loss: 24.8318 | val_loss: 34.2972 | lr: 0.000210
Epoch 110/300 | train_loss: 25.2773 | val_loss: 91.4445 | lr: 0.000210
Epoch 111/300 | train_loss: 25.2005 | val_loss: 28.2714 | lr: 0.000210 ← 保存
Epoch 112/300 | train_loss: 24.7025 | val_loss: 28.4663 | lr: 0.000210
Epoch 113/300 | train_loss: 24.6135 | val_loss: 31.0625 | lr: 0.000210
Epoch 114/300 | train_loss: 24.5878 | val_loss: 29.5845 | lr: 0.000210
Epoch 115/300 | train_loss: 24.3429 | val_loss: 30.0890 | lr: 0.000210
Epoch 116/300 | train_loss: 23.9264 | val_loss: 31.4405 | lr: 0.000210
Epoch 117/300 | train_loss: 24.2618 | val_loss: 71.3448 | lr: 0.000210
Epoch 118/300 | train_loss: 24.5475 | val_loss: 39.0267 | lr: 0.000210
Epoch 119/300 | train_loss: 23.9562 | val_loss: 37.1390 | lr: 0.000210
Epoch 120/300 | train_loss: 23.9809 | val_loss: 32.9635 | lr: 0.000210
Epoch 121/300 | train_loss: 24.0931 | val_loss: 31.4844 | lr: 0.000210
Epoch 122/300 | train_loss: 23.9180 | val_loss: 44.2627 | lr: 0.000210
Epoch 123/300 | train_loss: 24.9964 | val_loss: 31.2853 | lr: 0.000210
Epoch 124/300 | train_loss: 23.9002 | val_loss: 73.2411 | lr: 0.000210
Epoch 125/300 | train_loss: 25.4502 | val_loss: 48.8977 | lr: 0.000210
Epoch 126/300 | train_loss: 24.0645 | val_loss: 36.8062 | lr: 0.000210
Epoch 127/300 | train_loss: 23.7952 | val_loss: 32.3562 | lr: 0.000210
Epoch 128/300 | train_loss: 23.8929 | val_loss: 73.5684 | lr: 0.000210
Epoch 129/300 | train_loss: 23.7591 | val_loss: 32.2302 | lr: 0.000210
Epoch 130/300 | train_loss: 23.6305 | val_loss: 29.3980 | lr: 0.000210
Epoch 131/300 | train_loss: 23.9186 | val_loss: 36.5185 | lr: 0.000210
Epoch 132/300 | train_loss: 24.5121 | val_loss: 177.3937 | lr: 0.000210
Epoch 133/300 | train_loss: 26.5474 | val_loss: 31.2072 | lr: 0.000210
Epoch 134/300 | train_loss: 24.7511 | val_loss: 30.7273 | lr: 0.000210
Epoch 135/300 | train_loss: 23.4128 | val_loss: 33.0965 | lr: 0.000210
Epoch 136/300 | train_loss: 23.9055 | val_loss: 46.6517 | lr: 0.000210
Epoch 137/300 | train_loss: 23.9470 | val_loss: 30.6549 | lr: 0.000210
Epoch 138/300 | train_loss: 23.6991 | val_loss: 47.8880 | lr: 0.000210
Epoch 139/300 | train_loss: 23.4994 | val_loss: 50.7282 | lr: 0.000210
Epoch 140/300 | train_loss: 24.0303 | val_loss: 33.3718 | lr: 0.000210
Epoch 141/300 | train_loss: 23.4060 | val_loss: 30.0657 | lr: 0.000210
Epoch 142/300 | train_loss: 23.8940 | val_loss: 29.5642 | lr: 0.000210
Epoch 143/300 | train_loss: 24.1411 | val_loss: 39.9256 | lr: 0.000210
Epoch 144/300 | train_loss: 24.5349 | val_loss: 36.3836 | lr: 0.000210
Epoch 145/300 | train_loss: 23.1151 | val_loss: 37.7469 | lr: 0.000210
Epoch 146/300 | train_loss: 23.5673 | val_loss: 56.1134 | lr: 0.000210
Epoch 147/300 | train_loss: 23.8199 | val_loss: 32.7820 | lr: 0.000210
Epoch 148/300 | train_loss: 23.4307 | val_loss: 40.0707 | lr: 0.000210
Epoch 149/300 | train_loss: 23.1147 | val_loss: 28.2342 | lr: 0.000210 ← 保存
Epoch 150/300 | train_loss: 23.5057 | val_loss: 36.0040 | lr: 0.000147
Epoch 151/300 | train_loss: 23.1404 | val_loss: 28.8533 | lr: 0.000147
Epoch 152/300 | train_loss: 22.9630 | val_loss: 33.1589 | lr: 0.000147
Epoch 153/300 | train_loss: 23.0141 | val_loss: 38.7278 | lr: 0.000147
Epoch 154/300 | train_loss: 23.5262 | val_loss: 28.0487 | lr: 0.000147 ← 保存
Epoch 155/300 | train_loss: 22.6580 | val_loss: 34.7546 | lr: 0.000147
Epoch 156/300 | train_loss: 22.5627 | val_loss: 28.8311 | lr: 0.000147
Epoch 157/300 | train_loss: 22.8973 | val_loss: 29.0896 | lr: 0.000147
Epoch 158/300 | train_loss: 22.8046 | val_loss: 38.5322 | lr: 0.000147
Epoch 159/300 | train_loss: 23.7627 | val_loss: 75.2142 | lr: 0.000147
Epoch 160/300 | train_loss: 22.9736 | val_loss: 28.1248 | lr: 0.000147
Epoch 161/300 | train_loss: 22.9860 | val_loss: 37.5200 | lr: 0.000147
Epoch 162/300 | train_loss: 23.3144 | val_loss: 40.2706 | lr: 0.000147
Epoch 163/300 | train_loss: 22.9666 | val_loss: 51.9764 | lr: 0.000147
Epoch 164/300 | train_loss: 22.7632 | val_loss: 29.2458 | lr: 0.000147
Epoch 165/300 | train_loss: 22.5408 | val_loss: 28.8794 | lr: 0.000147
Epoch 166/300 | train_loss: 22.9050 | val_loss: 28.5784 | lr: 0.000147
Epoch 167/300 | train_loss: 22.7577 | val_loss: 28.8776 | lr: 0.000147
Epoch 168/300 | train_loss: 22.8706 | val_loss: 32.9530 | lr: 0.000147
Epoch 169/300 | train_loss: 22.6539 | val_loss: 51.6905 | lr: 0.000147
Epoch 170/300 | train_loss: 22.8509 | val_loss: 37.6455 | lr: 0.000147
Epoch 171/300 | train_loss: 22.7256 | val_loss: 34.6164 | lr: 0.000147
Epoch 172/300 | train_loss: 22.4784 | val_loss: 29.4333 | lr: 0.000147
Epoch 173/300 | train_loss: 22.2171 | val_loss: 28.1760 | lr: 0.000147
Epoch 174/300 | train_loss: 22.7037 | val_loss: 28.9943 | lr: 0.000147
Epoch 175/300 | train_loss: 22.4368 | val_loss: 27.8292 | lr: 0.000147 ← 保存
Epoch 176/300 | train_loss: 22.8387 | val_loss: 28.7386 | lr: 0.000147
Epoch 177/300 | train_loss: 22.4977 | val_loss: 32.0786 | lr: 0.000147
Epoch 178/300 | train_loss: 22.0348 | val_loss: 34.9689 | lr: 0.000147
Epoch 179/300 | train_loss: 22.2132 | val_loss: 30.1551 | lr: 0.000147
Epoch 180/300 | train_loss: 22.1772 | val_loss: 29.3505 | lr: 0.000147
Epoch 181/300 | train_loss: 22.5498 | val_loss: 43.7209 | lr: 0.000147
Epoch 182/300 | train_loss: 22.5212 | val_loss: 52.3697 | lr: 0.000147
Epoch 183/300 | train_loss: 22.0526 | val_loss: 54.8588 | lr: 0.000147
Epoch 184/300 | train_loss: 22.5034 | val_loss: 30.2957 | lr: 0.000147
Epoch 185/300 | train_loss: 22.6301 | val_loss: 31.1595 | lr: 0.000147
Epoch 186/300 | train_loss: 22.9804 | val_loss: 52.1721 | lr: 0.000147
Epoch 187/300 | train_loss: 22.5918 | val_loss: 76.0466 | lr: 0.000147
Epoch 188/300 | train_loss: 22.1942 | val_loss: 30.2637 | lr: 0.000147
Epoch 189/300 | train_loss: 22.0344 | val_loss: 52.7490 | lr: 0.000147
Epoch 190/300 | train_loss: 22.2651 | val_loss: 31.5328 | lr: 0.000147
Epoch 191/300 | train_loss: 22.4763 | val_loss: 33.4075 | lr: 0.000147
Epoch 192/300 | train_loss: 22.3501 | val_loss: 33.3730 | lr: 0.000147
Epoch 193/300 | train_loss: 22.8880 | val_loss: 28.4188 | lr: 0.000147
Epoch 194/300 | train_loss: 21.8986 | val_loss: 29.9404 | lr: 0.000147
Epoch 195/300 | train_loss: 22.1058 | val_loss: 31.2673 | lr: 0.000147
Epoch 196/300 | train_loss: 22.3724 | val_loss: 58.2502 | lr: 0.000147
Epoch 197/300 | train_loss: 21.8148 | val_loss: 30.7712 | lr: 0.000147
Epoch 198/300 | train_loss: 22.3150 | val_loss: 28.0693 | lr: 0.000147
Epoch 199/300 | train_loss: 21.6751 | val_loss: 29.5604 | lr: 0.000147
Epoch 200/300 | train_loss: 21.8800 | val_loss: 29.3870 | lr: 0.000147
Epoch 201/300 | train_loss: 22.2325 | val_loss: 39.5460 | lr: 0.000147
Epoch 202/300 | train_loss: 22.1239 | val_loss: 28.6450 | lr: 0.000147
Epoch 203/300 | train_loss: 22.1255 | val_loss: 34.2068 | lr: 0.000147
Epoch 204/300 | train_loss: 22.2107 | val_loss: 32.8755 | lr: 0.000147
Epoch 205/300 | train_loss: 22.4590 | val_loss: 44.5097 | lr: 0.000147
Epoch 206/300 | train_loss: 22.0224 | val_loss: 37.9471 | lr: 0.000147
Epoch 207/300 | train_loss: 21.9446 | val_loss: 28.5439 | lr: 0.000147
Epoch 208/300 | train_loss: 21.8343 | val_loss: 28.4432 | lr: 0.000147
Epoch 209/300 | train_loss: 22.3202 | val_loss: 42.7805 | lr: 0.000147
Epoch 210/300 | train_loss: 21.9180 | val_loss: 32.8367 | lr: 0.000147
Epoch 211/300 | train_loss: 21.7561 | val_loss: 31.6319 | lr: 0.000147
Epoch 212/300 | train_loss: 21.8207 | val_loss: 29.3586 | lr: 0.000147
Epoch 213/300 | train_loss: 22.1101 | val_loss: 46.9817 | lr: 0.000147
Epoch 214/300 | train_loss: 22.2802 | val_loss: 28.2649 | lr: 0.000147
Epoch 215/300 | train_loss: 21.9692 | val_loss: 32.1166 | lr: 0.000147
Epoch 216/300 | train_loss: 22.1645 | val_loss: 29.8650 | lr: 0.000147
Epoch 217/300 | train_loss: 21.7136 | val_loss: 35.7509 | lr: 0.000147
Epoch 218/300 | train_loss: 21.8525 | val_loss: 28.3406 | lr: 0.000147
Epoch 219/300 | train_loss: 21.4656 | val_loss: 29.0417 | lr: 0.000147
Epoch 220/300 | train_loss: 21.2726 | val_loss: 33.9378 | lr: 0.000147
Epoch 221/300 | train_loss: 21.7258 | val_loss: 37.4113 | lr: 0.000147
Epoch 222/300 | train_loss: 21.9558 | val_loss: 31.1522 | lr: 0.000147
Epoch 223/300 | train_loss: 21.9196 | val_loss: 28.2633 | lr: 0.000147
Epoch 224/300 | train_loss: 21.8539 | val_loss: 33.7490 | lr: 0.000147
Epoch 225/300 | train_loss: 21.8571 | val_loss: 31.4532 | lr: 0.000103
Epoch 226/300 | train_loss: 21.6117 | val_loss: 28.8723 | lr: 0.000103
Epoch 227/300 | train_loss: 21.6308 | val_loss: 28.3746 | lr: 0.000103
Epoch 228/300 | train_loss: 21.3091 | val_loss: 28.3996 | lr: 0.000103
Epoch 229/300 | train_loss: 21.1855 | val_loss: 31.8601 | lr: 0.000103
Epoch 230/300 | train_loss: 21.2168 | val_loss: 30.6921 | lr: 0.000103
Epoch 231/300 | train_loss: 21.3879 | val_loss: 36.0391 | lr: 0.000103
Epoch 232/300 | train_loss: 21.1872 | val_loss: 30.6207 | lr: 0.000103
Epoch 233/300 | train_loss: 21.0769 | val_loss: 28.8797 | lr: 0.000103
Epoch 234/300 | train_loss: 21.0194 | val_loss: 39.3232 | lr: 0.000103
Epoch 235/300 | train_loss: 21.2473 | val_loss: 30.1882 | lr: 0.000103
