使用设备：mps
EPOCHS=100 | BATCH_SIZE=64 | LR=0.0003 | scheduler=StepLR(step=20, gamma=0.7)

Epoch   1/100 | train_loss: 3432.0022 | val_loss: 361.6801 | lr: 0.000300 ← 保存
Epoch   2/100 | train_loss: 229.6950 | val_loss: 739.2111 | lr: 0.000300
Epoch   3/100 | train_loss: 170.7220 | val_loss: 121.0299 | lr: 0.000300 ← 保存
Epoch   4/100 | train_loss: 121.0627 | val_loss: 1033.4295 | lr: 0.000300
Epoch   5/100 | train_loss: 112.5505 | val_loss: 153.9371 | lr: 0.000300
Epoch   6/100 | train_loss: 98.4941 | val_loss: 488.5430 | lr: 0.000300
Epoch   7/100 | train_loss: 80.8218 | val_loss: 98.2748 | lr: 0.000300 ← 保存
Epoch   8/100 | train_loss: 72.4565 | val_loss: 129.9493 | lr: 0.000300
Epoch   9/100 | train_loss: 75.6492 | val_loss: 131.3460 | lr: 0.000300
Epoch  10/100 | train_loss: 65.9585 | val_loss: 50.4380 | lr: 0.000300 ← 保存
Epoch  11/100 | train_loss: 56.8569 | val_loss: 49.9224 | lr: 0.000300 ← 保存
Epoch  12/100 | train_loss: 60.3522 | val_loss: 68.2353 | lr: 0.000300
Epoch  13/100 | train_loss: 57.0284 | val_loss: 64.2913 | lr: 0.000300
Epoch  14/100 | train_loss: 58.5131 | val_loss: 45.2913 | lr: 0.000300 ← 保存
Epoch  15/100 | train_loss: 53.5382 | val_loss: 38.7387 | lr: 0.000300 ← 保存
Epoch  16/100 | train_loss: 47.6233 | val_loss: 50.2611 | lr: 0.000300
Epoch  17/100 | train_loss: 49.3876 | val_loss: 69.1077 | lr: 0.000300
Epoch  18/100 | train_loss: 46.8956 | val_loss: 70.0263 | lr: 0.000300
Epoch  19/100 | train_loss: 44.8247 | val_loss: 49.4321 | lr: 0.000300
Epoch  20/100 | train_loss: 47.3263 | val_loss: 83.7580 | lr: 0.000210
Epoch  21/100 | train_loss: 45.4455 | val_loss: 42.9196 | lr: 0.000210
