使用设备：mps
EPOCHS=300 | BATCH_SIZE=64 | LR=0.0003 | scheduler=StepLR(step=75, gamma=0.7)

Epoch   1/300 | train_loss: 3838.9962 | val_loss: 487.0968 | lr: 0.000300 ← 保存
Epoch   2/300 | train_loss: 264.8718 | val_loss: 255.6610 | lr: 0.000300 ← 保存
Epoch   3/300 | train_loss: 137.4507 | val_loss: 91.0972 | lr: 0.000300 ← 保存
Epoch   4/300 | train_loss: 82.5227 | val_loss: 57.7415 | lr: 0.000300 ← 保存
Epoch   5/300 | train_loss: 72.9593 | val_loss: 60.0299 | lr: 0.000300
Epoch   6/300 | train_loss: 56.0296 | val_loss: 46.1802 | lr: 0.000300 ← 保存
Epoch   7/300 | train_loss: 50.9918 | val_loss: 59.3817 | lr: 0.000300
Epoch   8/300 | train_loss: 45.8720 | val_loss: 162.2315 | lr: 0.000300
Epoch   9/300 | train_loss: 45.2983 | val_loss: 47.5108 | lr: 0.000300
Epoch  10/300 | train_loss: 45.0534 | val_loss: 65.5253 | lr: 0.000300
Epoch  11/300 | train_loss: 41.7278 | val_loss: 55.5607 | lr: 0.000300
Epoch  12/300 | train_loss: 39.2735 | val_loss: 51.6499 | lr: 0.000300
Epoch  13/300 | train_loss: 36.8403 | val_loss: 44.3768 | lr: 0.000300 ← 保存
Epoch  14/300 | train_loss: 36.1010 | val_loss: 36.6985 | lr: 0.000300 ← 保存
Epoch  15/300 | train_loss: 35.2888 | val_loss: 44.6015 | lr: 0.000300
Epoch  16/300 | train_loss: 34.3929 | val_loss: 424.9649 | lr: 0.000300
Epoch  17/300 | train_loss: 37.9170 | val_loss: 143.4892 | lr: 0.000300
Epoch  18/300 | train_loss: 34.5730 | val_loss: 47.6168 | lr: 0.000300
Epoch  19/300 | train_loss: 33.7406 | val_loss: 740.8539 | lr: 0.000300
Epoch  20/300 | train_loss: 47.1305 | val_loss: 48.6865 | lr: 0.000300
Epoch  21/300 | train_loss: 34.6839 | val_loss: 31.6239 | lr: 0.000300 ← 保存
Epoch  22/300 | train_loss: 31.2093 | val_loss: 54.3340 | lr: 0.000300
Epoch  23/300 | train_loss: 30.0646 | val_loss: 32.3215 | lr: 0.000300
Epoch  24/300 | train_loss: 29.5729 | val_loss: 59.6846 | lr: 0.000300
Epoch  25/300 | train_loss: 29.8548 | val_loss: 376.8969 | lr: 0.000300
Epoch  26/300 | train_loss: 31.7216 | val_loss: 50.2228 | lr: 0.000300
Epoch  27/300 | train_loss: 30.5659 | val_loss: 43.8886 | lr: 0.000300
Epoch  28/300 | train_loss: 29.3600 | val_loss: 58.9407 | lr: 0.000300
Epoch  29/300 | train_loss: 29.3867 | val_loss: 148.9913 | lr: 0.000300
Epoch  30/300 | train_loss: 29.7481 | val_loss: 101.9783 | lr: 0.000300
Epoch  31/300 | train_loss: 31.5070 | val_loss: 46.1894 | lr: 0.000300
Epoch  32/300 | train_loss: 28.5754 | val_loss: 34.5915 | lr: 0.000300
Epoch  33/300 | train_loss: 28.2783 | val_loss: 60.5686 | lr: 0.000300
Epoch  34/300 | train_loss: 30.6190 | val_loss: 42.7985 | lr: 0.000300
Epoch  35/300 | train_loss: 28.3600 | val_loss: 151.7713 | lr: 0.000300
Epoch  36/300 | train_loss: 30.2030 | val_loss: 37.6047 | lr: 0.000300
Epoch  37/300 | train_loss: 28.5852 | val_loss: 145.8383 | lr: 0.000300
Epoch  38/300 | train_loss: 33.8363 | val_loss: 29.4759 | lr: 0.000300 ← 保存
Epoch  39/300 | train_loss: 28.9076 | val_loss: 66.1121 | lr: 0.000300
Epoch  40/300 | train_loss: 29.0264 | val_loss: 38.6437 | lr: 0.000300
Epoch  41/300 | train_loss: 27.4213 | val_loss: 32.5360 | lr: 0.000300
Epoch  42/300 | train_loss: 29.1984 | val_loss: 36.6272 | lr: 0.000300
Epoch  43/300 | train_loss: 27.7667 | val_loss: 87.3309 | lr: 0.000300
Epoch  44/300 | train_loss: 27.7452 | val_loss: 52.3680 | lr: 0.000300
Epoch  45/300 | train_loss: 27.3541 | val_loss: 39.3377 | lr: 0.000300
Epoch  46/300 | train_loss: 26.7210 | val_loss: 32.4899 | lr: 0.000300
Epoch  47/300 | train_loss: 25.9156 | val_loss: 33.5911 | lr: 0.000300
Epoch  48/300 | train_loss: 28.5384 | val_loss: 32.6813 | lr: 0.000300
Epoch  49/300 | train_loss: 27.3331 | val_loss: 33.3540 | lr: 0.000300
Epoch  50/300 | train_loss: 26.7261 | val_loss: 32.3658 | lr: 0.000300
Epoch  51/300 | train_loss: 26.4965 | val_loss: 29.3258 | lr: 0.000300 ← 保存
Epoch  52/300 | train_loss: 26.7227 | val_loss: 818.0520 | lr: 0.000300
Epoch  53/300 | train_loss: 30.6855 | val_loss: 68.1528 | lr: 0.000300
Epoch  54/300 | train_loss: 27.3935 | val_loss: 39.7346 | lr: 0.000300
Epoch  55/300 | train_loss: 26.4617 | val_loss: 34.7261 | lr: 0.000300
Epoch  56/300 | train_loss: 26.8261 | val_loss: 35.1320 | lr: 0.000300
Epoch  57/300 | train_loss: 27.6660 | val_loss: 29.9400 | lr: 0.000300
Epoch  58/300 | train_loss: 26.7564 | val_loss: 31.4124 | lr: 0.000300
Epoch  59/300 | train_loss: 26.8675 | val_loss: 29.9238 | lr: 0.000300
Epoch  60/300 | train_loss: 27.9616 | val_loss: 28.8475 | lr: 0.000300 ← 保存
Epoch  61/300 | train_loss: 25.7785 | val_loss: 29.5290 | lr: 0.000300
Epoch  62/300 | train_loss: 27.0284 | val_loss: 31.2820 | lr: 0.000300
Epoch  63/300 | train_loss: 25.8699 | val_loss: 48.2305 | lr: 0.000300
Epoch  64/300 | train_loss: 24.9436 | val_loss: 31.1499 | lr: 0.000300
Epoch  65/300 | train_loss: 25.8912 | val_loss: 32.3276 | lr: 0.000300
Epoch  66/300 | train_loss: 27.5232 | val_loss: 34.2532 | lr: 0.000300
Epoch  67/300 | train_loss: 26.5738 | val_loss: 81.6823 | lr: 0.000300
Epoch  68/300 | train_loss: 26.0740 | val_loss: 44.4177 | lr: 0.000300
Epoch  69/300 | train_loss: 25.5659 | val_loss: 36.2561 | lr: 0.000300
Epoch  70/300 | train_loss: 26.9060 | val_loss: 30.2465 | lr: 0.000300
Epoch  71/300 | train_loss: 25.6443 | val_loss: 38.3914 | lr: 0.000300
Epoch  72/300 | train_loss: 25.3437 | val_loss: 31.7422 | lr: 0.000300
Epoch  73/300 | train_loss: 25.2662 | val_loss: 125.1513 | lr: 0.000300
Epoch  74/300 | train_loss: 26.6737 | val_loss: 30.3726 | lr: 0.000300
Epoch  75/300 | train_loss: 26.3308 | val_loss: 30.0157 | lr: 0.000210
Epoch  76/300 | train_loss: 24.6541 | val_loss: 29.2561 | lr: 0.000210
Epoch  77/300 | train_loss: 24.5040 | val_loss: 29.8014 | lr: 0.000210
Epoch  78/300 | train_loss: 24.7491 | val_loss: 33.7515 | lr: 0.000210
Epoch  79/300 | train_loss: 24.0040 | val_loss: 30.4844 | lr: 0.000210
Epoch  80/300 | train_loss: 24.0231 | val_loss: 36.4290 | lr: 0.000210
Epoch  81/300 | train_loss: 24.4681 | val_loss: 29.7820 | lr: 0.000210
Epoch  82/300 | train_loss: 24.5364 | val_loss: 30.9078 | lr: 0.000210
Epoch  83/300 | train_loss: 24.5613 | val_loss: 55.4383 | lr: 0.000210
Epoch  84/300 | train_loss: 25.5079 | val_loss: 28.8096 | lr: 0.000210 ← 保存
Epoch  85/300 | train_loss: 24.6259 | val_loss: 55.1260 | lr: 0.000210
Epoch  86/300 | train_loss: 24.8189 | val_loss: 33.7770 | lr: 0.000210
Epoch  87/300 | train_loss: 26.3713 | val_loss: 31.8066 | lr: 0.000210
Epoch  88/300 | train_loss: 23.9382 | val_loss: 53.6076 | lr: 0.000210
Epoch  89/300 | train_loss: 24.2824 | val_loss: 31.0717 | lr: 0.000210
Epoch  90/300 | train_loss: 23.8607 | val_loss: 53.8762 | lr: 0.000210
Epoch  91/300 | train_loss: 23.9591 | val_loss: 34.7954 | lr: 0.000210
Epoch  92/300 | train_loss: 23.8568 | val_loss: 31.5858 | lr: 0.000210
Epoch  93/300 | train_loss: 24.1487 | val_loss: 58.0461 | lr: 0.000210
Epoch  94/300 | train_loss: 24.3694 | val_loss: 96.5575 | lr: 0.000210
Epoch  95/300 | train_loss: 24.4844 | val_loss: 34.6587 | lr: 0.000210
Epoch  96/300 | train_loss: 24.7132 | val_loss: 48.5810 | lr: 0.000210
Epoch  97/300 | train_loss: 24.4626 | val_loss: 38.1479 | lr: 0.000210
Epoch  98/300 | train_loss: 23.8945 | val_loss: 29.0812 | lr: 0.000210
Epoch  99/300 | train_loss: 23.7811 | val_loss: 31.0689 | lr: 0.000210
Epoch 100/300 | train_loss: 23.9435 | val_loss: 29.4650 | lr: 0.000210
Epoch 101/300 | train_loss: 24.4077 | val_loss: 40.4310 | lr: 0.000210
Epoch 102/300 | train_loss: 24.0022 | val_loss: 31.7205 | lr: 0.000210
Epoch 103/300 | train_loss: 23.4251 | val_loss: 124.7706 | lr: 0.000210
Epoch 104/300 | train_loss: 23.8878 | val_loss: 30.4686 | lr: 0.000210
Epoch 105/300 | train_loss: 23.9096 | val_loss: 38.7392 | lr: 0.000210
Epoch 106/300 | train_loss: 24.4677 | val_loss: 31.4942 | lr: 0.000210
Epoch 107/300 | train_loss: 23.3612 | val_loss: 57.3613 | lr: 0.000210
Epoch 108/300 | train_loss: 24.5025 | val_loss: 28.8959 | lr: 0.000210
Epoch 109/300 | train_loss: 23.5593 | val_loss: 30.8015 | lr: 0.000210
Epoch 110/300 | train_loss: 23.3959 | val_loss: 33.8108 | lr: 0.000210
Epoch 111/300 | train_loss: 22.8875 | val_loss: 29.2723 | lr: 0.000210
Epoch 112/300 | train_loss: 22.9727 | val_loss: 32.3838 | lr: 0.000210
Epoch 113/300 | train_loss: 23.6785 | val_loss: 36.4312 | lr: 0.000210
Epoch 114/300 | train_loss: 23.0409 | val_loss: 29.0631 | lr: 0.000210
Epoch 115/300 | train_loss: 23.0819 | val_loss: 38.0963 | lr: 0.000210
Epoch 116/300 | train_loss: 22.7743 | val_loss: 30.3507 | lr: 0.000210
Epoch 117/300 | train_loss: 23.0457 | val_loss: 34.4446 | lr: 0.000210
Epoch 118/300 | train_loss: 23.2982 | val_loss: 29.8298 | lr: 0.000210
Epoch 119/300 | train_loss: 23.1028 | val_loss: 28.4082 | lr: 0.000210 ← 保存
Epoch 120/300 | train_loss: 23.5648 | val_loss: 53.2442 | lr: 0.000210
Epoch 121/300 | train_loss: 23.4136 | val_loss: 29.4021 | lr: 0.000210
Epoch 122/300 | train_loss: 23.4861 | val_loss: 82.2206 | lr: 0.000210
