使用设备：mps
EPOCHS=100 | BATCH_SIZE=64 | LR=0.0003 | scheduler=StepLR(step=20, gamma=0.7)
Epoch  72/100 | train_loss: 25.1519 | val_loss: 34.4010 | lr: 0.000103
Epoch  73/100 | train_loss: 24.7803 | val_loss: 28.9326 | lr: 0.000103 ← 保存
Epoch  74/100 | train_loss: 25.3369 | val_loss: 29.9464 | lr: 0.000103
Epoch  75/100 | train_loss: 24.8377 | val_loss: 30.0135 | lr: 0.000103
Epoch  76/100 | train_loss: 24.4494 | val_loss: 34.4901 | lr: 0.000103
Epoch  77/100 | train_loss: 24.6857 | val_loss: 37.2676 | lr: 0.000103
Epoch  78/100 | train_loss: 25.4150 | val_loss: 35.7207 | lr: 0.000103
Epoch  79/100 | train_loss: 24.8226 | val_loss: 30.1206 | lr: 0.000103
Epoch  80/100 | train_loss: 25.0450 | val_loss: 38.8242 | lr: 0.000072
Epoch  81/100 | train_loss: 24.8948 | val_loss: 29.4151 | lr: 0.000072
Epoch  82/100 | train_loss: 24.2725 | val_loss: 30.6929 | lr: 0.000072
Epoch  83/100 | train_loss: 24.8758 | val_loss: 31.3971 | lr: 0.000072
Epoch  84/100 | train_loss: 24.0593 | val_loss: 59.9742 | lr: 0.000072
Epoch  85/100 | train_loss: 24.3198 | val_loss: 31.3412 | lr: 0.000072
Epoch  86/100 | train_loss: 24.4698 | val_loss: 31.0286 | lr: 0.000072
Epoch  87/100 | train_loss: 25.5487 | val_loss: 87.0843 | lr: 0.000072
Epoch  88/100 | train_loss: 24.4650 | val_loss: 264.2773 | lr: 0.000072
Epoch  89/100 | train_loss: 23.9451 | val_loss: 31.6572 | lr: 0.000072
Epoch  90/100 | train_loss: 23.8571 | val_loss: 30.7412 | lr: 0.000072
Epoch  91/100 | train_loss: 23.8632 | val_loss: 41.2839 | lr: 0.000072
Epoch  92/100 | train_loss: 23.6413 | val_loss: 31.2157 | lr: 0.000072
Epoch  93/100 | train_loss: 23.8685 | val_loss: 153.5761 | lr: 0.000072
Epoch  94/100 | train_loss: 24.0715 | val_loss: 29.2042 | lr: 0.000072
Epoch  95/100 | train_loss: 23.8594 | val_loss: 186.3789 | lr: 0.000072
Epoch  96/100 | train_loss: 23.8479 | val_loss: 31.8552 | lr: 0.000072
Epoch  97/100 | train_loss: 23.9447 | val_loss: 50.8880 | lr: 0.000072
Epoch  98/100 | train_loss: 24.3023 | val_loss: 42.2153 | lr: 0.000072
Epoch  99/100 | train_loss: 23.8737 | val_loss: 181.2913 | lr: 0.000072
Epoch 100/100 | train_loss: 23.6629 | val_loss: 29.2435 | lr: 0.000050

训练完成。最优 val_loss: 28.9326
最优 RMSE: 5.3789 cm
模型保存于: /Users/lind/Desktop/ppt/GAPS_Project/Scintillator_Project/results/20260506-135230_best_model.pth
日志保存于: /Users/lind/Desktop/ppt/GAPS_Project/Scintillator_Project/logs/20260506-135230.log
