使用设备：mps
EPOCHS=300 | BATCH_SIZE=64 | LR=0.0003 | scheduler=StepLR(step=75, gamma=0.7)

Epoch   1/300 | train_loss: 4195.9551 | val_loss: 1914.7925 | lr: 0.000300 ← 保存
Epoch   2/300 | train_loss: 332.2816 | val_loss: 301.3174 | lr: 0.000300 ← 保存
Epoch   3/300 | train_loss: 165.8955 | val_loss: 113.9033 | lr: 0.000300 ← 保存
Epoch   4/300 | train_loss: 112.9835 | val_loss: 699.8395 | lr: 0.000300
Epoch   5/300 | train_loss: 89.3508 | val_loss: 76.9321 | lr: 0.000300 ← 保存
Epoch   6/300 | train_loss: 76.0026 | val_loss: 359.8953 | lr: 0.000300
Epoch   7/300 | train_loss: 69.6803 | val_loss: 83.8221 | lr: 0.000300
Epoch   8/300 | train_loss: 53.3766 | val_loss: 53.7053 | lr: 0.000300 ← 保存
Epoch   9/300 | train_loss: 50.0766 | val_loss: 83.8644 | lr: 0.000300
Epoch  10/300 | train_loss: 49.9395 | val_loss: 43.4128 | lr: 0.000300 ← 保存
Epoch  11/300 | train_loss: 45.3285 | val_loss: 122.0934 | lr: 0.000300
Epoch  12/300 | train_loss: 49.6284 | val_loss: 55.2243 | lr: 0.000300
Epoch  13/300 | train_loss: 42.9097 | val_loss: 78.8793 | lr: 0.000300
Epoch  14/300 | train_loss: 45.5747 | val_loss: 160.9372 | lr: 0.000300
Epoch  15/300 | train_loss: 42.1073 | val_loss: 38.6370 | lr: 0.000300 ← 保存
Epoch  16/300 | train_loss: 37.4621 | val_loss: 51.0543 | lr: 0.000300
Epoch  17/300 | train_loss: 38.2199 | val_loss: 63.7003 | lr: 0.000300
Epoch  18/300 | train_loss: 40.3352 | val_loss: 194.3587 | lr: 0.000300
Epoch  19/300 | train_loss: 38.7147 | val_loss: 39.7112 | lr: 0.000300
Epoch  20/300 | train_loss: 35.3959 | val_loss: 46.3384 | lr: 0.000300
Epoch  21/300 | train_loss: 34.6369 | val_loss: 45.2467 | lr: 0.000300
Epoch  22/300 | train_loss: 34.0525 | val_loss: 84.9990 | lr: 0.000300
Epoch  23/300 | train_loss: 34.9637 | val_loss: 92.4545 | lr: 0.000300
Epoch  24/300 | train_loss: 33.6347 | val_loss: 127.2818 | lr: 0.000300
Epoch  25/300 | train_loss: 41.3245 | val_loss: 33.2358 | lr: 0.000300 ← 保存
Epoch  26/300 | train_loss: 31.7913 | val_loss: 45.5333 | lr: 0.000300
Epoch  27/300 | train_loss: 30.6810 | val_loss: 41.8627 | lr: 0.000300
Epoch  28/300 | train_loss: 31.0957 | val_loss: 30.7586 | lr: 0.000300 ← 保存
Epoch  29/300 | train_loss: 30.9682 | val_loss: 119.7922 | lr: 0.000300
Epoch  30/300 | train_loss: 32.2309 | val_loss: 39.2665 | lr: 0.000300
Epoch  31/300 | train_loss: 34.7760 | val_loss: 42.6456 | lr: 0.000300
Epoch  32/300 | train_loss: 30.9627 | val_loss: 29.9569 | lr: 0.000300 ← 保存
Epoch  33/300 | train_loss: 29.2859 | val_loss: 64.9505 | lr: 0.000300
Epoch  34/300 | train_loss: 31.9388 | val_loss: 30.7274 | lr: 0.000300
Epoch  35/300 | train_loss: 28.8023 | val_loss: 34.6864 | lr: 0.000300
