使用设备：mps
EPOCHS=100 | BATCH_SIZE=64 | LR=0.0003 | scheduler=StepLR(step=20, gamma=0.7)

Epoch   1/100 | train_loss: 3615.7418 | val_loss: 454.9571 | lr: 0.000300 ← 保存
Epoch   2/100 | train_loss: 245.3351 | val_loss: 408.1746 | lr: 0.000300 ← 保存
Epoch   3/100 | train_loss: 183.1624 | val_loss: 374.2384 | lr: 0.000300 ← 保存
Epoch   4/100 | train_loss: 162.2552 | val_loss: 172.0730 | lr: 0.000300 ← 保存
Epoch   5/100 | train_loss: 141.9992 | val_loss: 238.9620 | lr: 0.000300
Epoch   6/100 | train_loss: 127.6500 | val_loss: 197.4064 | lr: 0.000300
Epoch   7/100 | train_loss: 120.4919 | val_loss: 138.6385 | lr: 0.000300 ← 保存
Epoch   8/100 | train_loss: 108.9794 | val_loss: 131.8392 | lr: 0.000300 ← 保存
Epoch   9/100 | train_loss: 99.8981 | val_loss: 97.4679 | lr: 0.000300 ← 保存
Epoch  10/100 | train_loss: 93.4441 | val_loss: 137.6501 | lr: 0.000300
Epoch  11/100 | train_loss: 85.6766 | val_loss: 365.0584 | lr: 0.000300
Epoch  12/100 | train_loss: 83.0785 | val_loss: 113.1342 | lr: 0.000300
Epoch  13/100 | train_loss: 84.0489 | val_loss: 69.0782 | lr: 0.000300 ← 保存
Epoch  14/100 | train_loss: 75.1397 | val_loss: 101.5154 | lr: 0.000300
Epoch  15/100 | train_loss: 68.0561 | val_loss: 269.2437 | lr: 0.000300
Epoch  16/100 | train_loss: 75.7581 | val_loss: 76.3745 | lr: 0.000300
Epoch  17/100 | train_loss: 67.5142 | val_loss: 56.4536 | lr: 0.000300 ← 保存
Epoch  18/100 | train_loss: 65.4820 | val_loss: 121.1640 | lr: 0.000300
Epoch  19/100 | train_loss: 57.3559 | val_loss: 95.3094 | lr: 0.000300
Epoch  20/100 | train_loss: 56.8419 | val_loss: 67.5942 | lr: 0.000210
Epoch  21/100 | train_loss: 55.7798 | val_loss: 180.1684 | lr: 0.000210
Epoch  22/100 | train_loss: 57.4218 | val_loss: 186.9644 | lr: 0.000210
Epoch  23/100 | train_loss: 50.9868 | val_loss: 56.9663 | lr: 0.000210
Epoch  24/100 | train_loss: 51.5443 | val_loss: 50.7901 | lr: 0.000210 ← 保存
Epoch  25/100 | train_loss: 56.2901 | val_loss: 48.2095 | lr: 0.000210 ← 保存
Epoch  26/100 | train_loss: 51.2008 | val_loss: 48.8657 | lr: 0.000210
Epoch  27/100 | train_loss: 49.9282 | val_loss: 85.5491 | lr: 0.000210
Epoch  28/100 | train_loss: 52.3619 | val_loss: 71.0104 | lr: 0.000210
Epoch  29/100 | train_loss: 47.7867 | val_loss: 45.5681 | lr: 0.000210 ← 保存
Epoch  30/100 | train_loss: 46.8681 | val_loss: 79.6725 | lr: 0.000210
Epoch  31/100 | train_loss: 45.5367 | val_loss: 58.6522 | lr: 0.000210
Epoch  32/100 | train_loss: 45.0992 | val_loss: 62.1896 | lr: 0.000210
Epoch  33/100 | train_loss: 46.9997 | val_loss: 55.7003 | lr: 0.000210
Epoch  34/100 | train_loss: 47.0635 | val_loss: 45.3200 | lr: 0.000210 ← 保存
Epoch  35/100 | train_loss: 42.9560 | val_loss: 56.5993 | lr: 0.000210
Epoch  36/100 | train_loss: 45.5618 | val_loss: 55.6401 | lr: 0.000210
Epoch  37/100 | train_loss: 43.9579 | val_loss: 41.1573 | lr: 0.000210 ← 保存
Epoch  38/100 | train_loss: 43.3869 | val_loss: 45.1250 | lr: 0.000210
Epoch  39/100 | train_loss: 57.1562 | val_loss: 67.1161 | lr: 0.000210
