使用设备：mps
EPOCHS=200 | BATCH_SIZE=64 | LR=0.0003 | scheduler=StepLR(step=60, gamma=0.7)

Epoch   1/200 | train_loss: 4354.6146 | val_loss: 1604.7214 | lr: 0.000300 ← 保存
Epoch   2/200 | train_loss: 377.7173 | val_loss: 673.8925 | lr: 0.000300 ← 保存
Epoch   3/200 | train_loss: 162.7402 | val_loss: 382.0364 | lr: 0.000300 ← 保存
Epoch   4/200 | train_loss: 103.9973 | val_loss: 405.6069 | lr: 0.000300
Epoch   5/200 | train_loss: 80.9960 | val_loss: 233.7772 | lr: 0.000300 ← 保存
Epoch   6/200 | train_loss: 64.2089 | val_loss: 271.0642 | lr: 0.000300
Epoch   7/200 | train_loss: 59.4779 | val_loss: 75.7055 | lr: 0.000300 ← 保存
Epoch   8/200 | train_loss: 48.8436 | val_loss: 76.9764 | lr: 0.000300
Epoch   9/200 | train_loss: 44.3029 | val_loss: 43.1036 | lr: 0.000300 ← 保存
Epoch  10/200 | train_loss: 43.1155 | val_loss: 51.8729 | lr: 0.000300
Epoch  11/200 | train_loss: 39.3207 | val_loss: 49.9818 | lr: 0.000300
Epoch  12/200 | train_loss: 37.7860 | val_loss: 53.3494 | lr: 0.000300
Epoch  13/200 | train_loss: 37.7501 | val_loss: 345.7010 | lr: 0.000300
Epoch  14/200 | train_loss: 41.2395 | val_loss: 54.6862 | lr: 0.000300
Epoch  15/200 | train_loss: 39.9440 | val_loss: 81.8834 | lr: 0.000300
Epoch  16/200 | train_loss: 38.6144 | val_loss: 219.8464 | lr: 0.000300
Epoch  17/200 | train_loss: 35.0343 | val_loss: 39.0703 | lr: 0.000300 ← 保存
Epoch  18/200 | train_loss: 33.6014 | val_loss: 160.4670 | lr: 0.000300
Epoch  19/200 | train_loss: 35.2874 | val_loss: 35.8129 | lr: 0.000300 ← 保存
Epoch  20/200 | train_loss: 33.3735 | val_loss: 133.9802 | lr: 0.000300
Epoch  21/200 | train_loss: 32.0017 | val_loss: 601.7636 | lr: 0.000300
Epoch  22/200 | train_loss: 38.8475 | val_loss: 48.2546 | lr: 0.000300
Epoch  23/200 | train_loss: 33.7387 | val_loss: 31.9011 | lr: 0.000300 ← 保存
